-82.000, -7.2000,  197.5,  9.500
-82.000,  7.2000,  197.5,  9.500
-82.000,  0.0000,  197.5,  9.500

-85.100,  9.7,  185.400,  11.000
-85.100, -9.7,  185.400,  11.000
-86.528,  0.0000,  185.400,  11.000

-75.500, -8.5000,  201,  6.500
-75.500,  -3.5000, 201,  6.500
-75.500,  0.0000,  201,  6.500
-75.500,  3.5000,  201,  6.500
-75.500,  8.5000,  201,  6.500

-75.500, -8.5000,  193.000,  6.500
-75.500,  -3.5000, 193.000,  6.500
-75.500,  0.0000,  193.000,  6.500
-75.500,  3.5000,  193.000,  6.500
-75.500,  8.5000,  193.000,  6.500

-75.500, -8.5000,  184.800,  7.000
-75.500,  -3.5000, 184.800,  7.000
-75.500,  0.0000,  184.800,  7.000
-75.500,  3.5000,  184.800,  7.000
-75.500,  8.5000,  184.800,  7.000

-89.828,  7.0000,  167.000,  18.000
-89.828,  -7.0000,  167.000,  18.000

-80.547,  2.3100e-07,  138.500,  29.500

-66.625,  7.3620e-07,  101.8120,  32

# Palm sphere
3.500,  0.0000, 45.000,  84.00

# 2 fingers
61.500, 0.000,  85.000,  65.000

85.000,  30,  140.000,  43.000
85.000,  -30,  140.000,  43.000

83.700,  38.000,  184.500,  25.0000
83.700, -38.000,  184.500,  25.0000
